Local time,Ask,Bid,AskVolume,BidVolume
22.01.2024 08:30:00.227 GMT-0600,192.303,192.257,0.012,0.012
22.01.2024 08:30:00.332 GMT-0600,192.463,192.27700000000002,0.012,0.012
22.01.2024 08:30:00.483 GMT-0600,192.343,192.27700000000002,0.012,0.012
22.01.2024 08:30:00.584 GMT-0600,192.34400000000002,192.30599999999998,0.012,0.012
22.01.2024 08:30:00.744 GMT-0600,192.333,192.29700000000003,0.012,0.012
22.01.2024 08:30:00.794 GMT-0600,192.34400000000002,192.296,0.012,0.012
22.01.2024 08:30:00.844 GMT-0600,192.354,192.316,0.012,0.012
22.01.2024 08:30:00.997 GMT-0600,192.463,192.33700000000002,0.012,0.012
22.01.2024 08:30:01.048 GMT-0600,192.46400000000003,192.346,0.012,0.012
22.01.2024 08:30:01.160 GMT-0600,192.46400000000003,192.386,0.012,0.012
22.01.2024 08:30:01.214 GMT-0600,192.49400000000003,192.386,0.012,0.012
22.01.2024 08:30:01.270 GMT-0600,192.493,192.39700000000002,0.012,0.012
22.01.2024 08:30:01.376 GMT-0600,192.49400000000003,192.426,0.012,0.012
22.01.2024 08:30:01.531 GMT-0600,192.49400000000003,192.43599999999998,0.012,0.012
22.01.2024 08:30:01.632 GMT-0600,192.503,192.477,0.012,0.012
22.01.2024 08:30:01.883 GMT-0600,192.49400000000003,192.46599999999998,0.012,0.012
22.01.2024 08:30:01.934 GMT-0600,192.493,192.447,0.012,0.012
22.01.2024 08:30:01.984 GMT-0600,192.484,192.456,0.012,0.012
22.01.2024 08:30:02.035 GMT-0600,192.484,192.43599999999998,0.012,0.012
22.01.2024 08:30:02.135 GMT-0600,192.483,192.417,0.012,0.012
22.01.2024 08:30:02.186 GMT-0600,192.46400000000003,192.40599999999998,0.012,0.012
22.01.2024 08:30:02.287 GMT-0600,192.424,192.396,0.012,0.012
22.01.2024 08:30:02.390 GMT-0600,192.423,192.377,0.012,0.012
22.01.2024 08:30:02.491 GMT-0600,192.424,192.396,0.012,0.012
22.01.2024 08:30:02.541 GMT-0600,192.433,192.39700000000002,0.012,0.012
22.01.2024 08:30:02.592 GMT-0600,192.44299999999998,192.39700000000002,0.012,0.012
22.01.2024 08:30:02.642 GMT-0600,192.44400000000002,192.40599999999998,0.012,0.012
22.01.2024 08:30:02.743 GMT-0600,192.433,192.417,0.012,0.012
22.01.2024 08:30:02.893 GMT-0600,192.41400000000002,192.386,0.012,0.012
22.01.2024 08:30:02.994 GMT-0600,192.38400000000001,192.346,0.012,0.012
22.01.2024 08:30:03.045 GMT-0600,192.37400000000002,192.33599999999998,0.012,0.012
22.01.2024 08:30:03.246 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:03.396 GMT-0600,192.373,192.33700000000002,0.012,0.012
22.01.2024 08:30:03.548 GMT-0600,192.36400000000003,192.33599999999998,0.012,0.012
22.01.2024 08:30:03.598 GMT-0600,192.394,192.356,0.012,0.012
22.01.2024 08:30:03.649 GMT-0600,192.373,192.33700000000002,0.012,0.012
22.01.2024 08:30:03.800 GMT-0600,192.383,192.357,0.012,0.012
22.01.2024 08:30:03.850 GMT-0600,192.293,192.257,0.012,0.012
22.01.2024 08:30:03.951 GMT-0600,192.303,192.26700000000002,0.012,0.012
22.01.2024 08:30:04.052 GMT-0600,192.353,192.317,0.012,0.012
22.01.2024 08:30:04.153 GMT-0600,192.363,192.327,0.012,0.012
22.01.2024 08:30:04.253 GMT-0600,192.38400000000001,192.33599999999998,0.012,0.012
22.01.2024 08:30:04.303 GMT-0600,192.383,192.347,0.012,0.012
22.01.2024 08:30:04.404 GMT-0600,192.373,192.327,0.012,0.012
